,EXT_SOURCE_3,EXT_SOURCE_2,DAYS_BIRTH,DAYS_EMPLOYED,EXT_SOURCE_1,DAYS_ID_PUBLISH,DAYS_LAST_PHONE_CHANGE,DAYS_REGISTRATION,AMT_CREDIT,AMT_ANNUITY,SK_ID_CURR,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,AMT_INCOME_TOTAL,HOUR_APPR_PROCESS_START,AMT_REQ_CREDIT_BUREAU_YEAR,OWN_CAR_AGE,OBS_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,TARGET
109074,0.06964008474671188,0.6963809006811679,17028,-3194.0,0.4007892461850225,-559,-536.0,-514.0,488934.0,37966.5,226503,418500.0,0.020246,225000.0,9,2.0,,0.0,0.0,0
59963,0.16640554618393638,0.29955979217727385,7712,-264.0,0.4164149905370845,-371,-410.0,-3828.0,180000.0,9000.0,169522,180000.0,0.010966,108000.0,14,2.0,,0.0,0.0,0
245753,0.6212263380626669,0.6892654158731982,15597,-7812.0,0.6579098696546365,-4430,-1495.0,-8115.0,1013593.5,43074.0,384396,819000.0,0.032561,247500.0,14,0.0,,10.0,10.0,0
4267,0.8277026681625442,0.09115894746321472,24166,,,-4312,0.0,-6429.0,247275.0,17716.5,104992,225000.0,0.00702,99000.0,10,3.0,,3.0,3.0,0
227706,0.5531646987710016,0.6451632059807737,14736,-556.0,,-4066,-216.0,-834.0,161730.0,13095.0,363754,135000.0,0.032561,202500.0,18,3.0,,0.0,0.0,0
19456,0.18411615593071512,0.6626938654596191,14472,-213.0,,-2880,-500.0,-185.0,540000.0,27000.0,122689,540000.0,0.035792000000000004,157500.0,15,3.0,4.0,0.0,0.0,0
184140,0.6413682574954046,0.5020082234183969,21622,,,-4567,-1265.0,-6210.0,720000.0,30636.0,313439,720000.0,0.003069,225000.0,15,5.0,,2.0,2.0,0
47511,0.10344905212675168,0.597365203886951,11289,-1955.0,0.3746420115624272,-3942,0.0,-1151.0,398160.0,31585.5,155029,315000.0,0.010006,427500.0,9,1.0,3.0,0.0,0.0,0
279453,0.3572932680336494,0.3623290848452042,14284,-393.0,,-3084,-280.0,-230.0,545040.0,25407.0,423770,450000.0,0.035792000000000004,157500.0,10,5.0,,0.0,0.0,0
291036,,0.6356206204166656,8558,-1546.0,0.1647705084187496,-1040,-1001.0,-3013.0,314100.0,16573.5,437148,225000.0,0.00496,76500.0,16,0.0,,1.0,0.0,0
253948,0.3344541255096772,0.5323153304181552,13198,-3253.0,0.7517758303745217,-4383,-2152.0,-1464.0,1024740.0,52452.0,393849,900000.0,0.008575,202500.0,17,3.0,8.0,0.0,0.0,0
112790,0.4938628816996244,0.6144431084492377,11625,-3477.0,0.15162443979698728,-3493,-951.0,-1115.0,454500.0,19386.0,230834,454500.0,0.014519999999999996,180000.0,9,2.0,,1.0,1.0,0
